trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
247,False,"{'a': 0.4059999999999996, 'e': 3.145795641229336e-06}",20,0,25.468132029376388,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
248,False,"{'a': 0.4039999999999996, 'e': 2.988505859167869e-06}",20,14,12.341423409043678,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.4019999999999996, 'e': 2.839080566209475e-06}",25,19,10.231237348223463,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.3999999999999996, 'e': 2.6971265378990014e-06}",25,13,23.195293620628853,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.3979999999999996, 'e': 2.5622702110040514e-06}",25,0,43.64082802170049,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 0.3959999999999996, 'e': 2.4341567004538487e-06}",20,3,28.30234252033819,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.3939999999999996, 'e': 2.312448865431156e-06}",20,12,17.289718176647252,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.39199999999999957, 'e': 2.196826422159598e-06}",25,7,26.327810515596134,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.38999999999999957, 'e': 2.0869851010516183e-06}",25,12,22.599171917560184,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.38799999999999957, 'e': 1.982635845999037e-06}",30,20,21.47201668971181,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.38599999999999957, 'e': 1.8835040536990851e-06}",25,1,33.234796832233464,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.38399999999999956, 'e': 1.789328851014131e-06}",20,0,32.221282389187124,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
259,False,"{'a': 0.38199999999999956, 'e': 1.6998624084634242e-06}",20,11,14.019612145327043,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.37999999999999956, 'e': 1.6148692880402529e-06}",30,12,32.88878475856947,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.37799999999999956, 'e': 1.5341258236382402e-06}",25,3,31.882919319157768,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.37599999999999956, 'e': 1.4574195324563281e-06}",20,10,18.21972866163967,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.37399999999999956, 'e': 1.3845485558335116e-06}",20,11,13.448473565667788,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.37199999999999955, 'e': 1.315321128041836e-06}",25,11,22.170214078406715,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.36999999999999955, 'e': 1.2495550716397441e-06}",25,18,14.582993128897598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
