trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
24,False,"{'a': 0.9, 'e': 0.07976644307687256}",20,11,-25.416979132441057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.9, 'e': 0.0717897987691853}",20,8,-0.5564341134547801,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.06461081889226677}",20,8,19.827601565931648,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.058149737003040096}",20,13,12.502768876842062,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.05233476330273609}",20,9,18.269585660408225,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.047101286972462485}",20,14,-32.451463028894516,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.9, 'e': 0.04239115827521624}",20,2,16.881227490509392,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.038152042447694615}",20,6,20.403836727273543,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.03433683820292515}",20,12,13.670923521989478,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.030903154382632636}",25,9,19.654015425268312,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.027812838944369374}",25,15,14.53372664289285,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.025031555049932437}",20,11,17.70843890872228,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.022528399544939195}",25,6,-14.711009645525541,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.9, 'e': 0.020275559590445275}",25,20,10.235101326643552,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.01824800363140075}",20,13,13.287728156619075,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.9, 'e': 0.016423203268260675}",30,10,-9.737617457611169,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.9, 'e': 0.014780882941434608}",25,0,18.548079751418648,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.9, 'e': 0.013302794647291147}",20,13,12.899367260422853,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.9, 'e': 0.011972515182562033}",20,12,15.954689066149156,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.01077526366430583}",35,12,37.94684453954423,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.009697737297875247}",25,14,22.00965438606537,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.008727963568087723}",20,14,11.747835993262193,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.00785516721127895}",25,16,18.35805578994284,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.007069650490151055}",30,16,24.261113686640993,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.00636268544113595}",30,18,10.30653690904842,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.9, 'e': 0.0057264168970223555}",20,0,33.31634037050468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.00515377520732012}",20,6,20.76090641451181,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.9, 'e': 0.004638397686588108}",30,17,23.28717625329677,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.9, 'e': 0.004174557917929297}",20,0,30.050478349103617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.9, 'e': 0.0037571021261363674}",20,8,23.7498158463398,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.9, 'e': 0.003381391913522731}",25,20,8.129001201316484,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.9, 'e': 0.0030432527221704577}",20,0,18.659799251674258,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.9, 'e': 0.002738927449953412}",25,1,9.614254155965583,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.002465034704958071}",20,13,11.165462862380796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.9, 'e': 0.002218531234462264}",35,16,34.25881700215747,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
